symbol,date,value,Value Difference
djia,2019-01-29,24579.96,51.73999999999796
djia,2019-01-30,25014.86,434.90000000000146
djia,2019-01-31,24999.67,-15.190000000002328
djia,2019-02-01,25063.89,64.22000000000116
djia,2019-02-04,25239.37,175.47999999999956
djia,2019-02-05,25411.52,172.15000000000146
djia,2019-02-06,25390.3,-21.220000000001164
djia,2019-02-07,25169.53,-220.77000000000044
djia,2019-02-08,25106.33,-63.19999999999709
djia,2019-02-11,25053.11,-53.220000000001164
djia,2019-02-12,25425.76,372.6499999999978
djia,2019-02-13,25543.27,117.51000000000204
djia,2019-02-14,25439.39,-103.88000000000102
djia,2019-02-15,25883.25,443.8600000000006
djia,2019-02-19,25891.32,8.069999999999709
djia,2019-02-20,25954.44,63.11999999999898
djia,2019-02-21,25850.63,-103.80999999999767
djia,2019-02-22,26031.81,181.1800000000003
djia,2019-02-25,26091.95,60.13999999999942
djia,2019-02-26,26057.98,-33.970000000001164
djia,2019-02-27,25985.16,-72.81999999999971
djia,2019-02-28,25916.0,-69.15999999999985
djia,2019-03-01,26026.32,110.31999999999971
djia,2019-03-04,25819.65,-206.66999999999825
djia,2019-03-05,25806.63,-13.020000000000437
djia,2019-03-06,25673.46,-133.1700000000019
djia,2019-03-07,25473.23,-200.22999999999956
djia,2019-03-08,25450.24,-22.989999999997963
djia,2019-03-11,25650.88,200.63999999999942
djia,2019-03-12,25554.66,-96.22000000000116
djia,2019-03-13,25702.89,148.22999999999956
djia,2019-03-14,25709.94,7.049999999999272
djia,2019-03-15,25848.87,138.9300000000003
djia,2019-03-18,25914.1,65.22999999999956
djia,2019-03-19,25887.38,-26.719999999997526
djia,2019-03-20,25745.67,-141.71000000000276
djia,2019-03-21,25962.51,216.84000000000015
djia,2019-03-22,25502.32,-460.1899999999987
djia,2019-03-25,25516.83,14.510000000002037
djia,2019-03-26,25657.73,140.89999999999782
djia,2019-03-27,25625.59,-32.13999999999942
djia,2019-03-28,25717.46,91.86999999999898
djia,2019-03-29,25928.68,211.22000000000116
djia,2019-04-01,26258.42,329.73999999999796
djia,2019-04-02,26179.13,-79.28999999999724
djia,2019-04-03,26218.13,39.0
djia,2019-04-04,26384.63,166.5
djia,2019-04-05,26424.99,40.36000000000058
djia,2019-04-08,26341.02,-83.97000000000116
djia,2019-04-09,26150.58,-190.4399999999987
djia,2019-04-10,26157.16,6.579999999998108
djia,2019-04-11,26143.05,-14.110000000000582
djia,2019-04-12,26412.3,269.25
djia,2019-04-15,26384.77,-27.529999999998836
djia,2019-04-16,26452.66,67.88999999999942
djia,2019-04-17,26449.54,-3.1199999999989814
djia,2019-04-18,26559.54,110.0
djia,2019-04-22,26511.05,-48.4900000000016
djia,2019-04-23,26656.39,145.34000000000015
djia,2019-04-24,26597.05,-59.340000000000146
djia,2019-04-25,26462.08,-134.96999999999753
djia,2019-04-26,26543.33,81.25
djia,2019-04-29,26554.39,11.059999999997672
djia,2019-04-30,26592.91,38.52000000000044
djia,2019-05-01,26430.14,-162.77000000000044
djia,2019-05-02,26307.79,-122.34999999999854
djia,2019-05-03,26504.95,197.15999999999985
djia,2019-05-06,26438.48,-66.47000000000116
djia,2019-05-07,25965.09,-473.3899999999994
djia,2019-05-08,25967.33,2.2400000000016007
djia,2019-05-09,25828.36,-138.97000000000116
djia,2019-05-10,25942.37,114.0099999999984
djia,2019-05-13,25324.99,-617.3799999999974
djia,2019-05-14,25532.05,207.05999999999767
djia,2019-05-15,25648.02,115.97000000000116
djia,2019-05-16,25862.68,214.65999999999985
djia,2019-05-17,25764.0,-98.68000000000029
