Symbol,Date,Open,High,Low,Close
CCMP:IND,28/04/1999,2601.13,2610.91,2544.9,2550.37
CCMP:IND,27/04/1999,2671.57,2677.76,2602.13,2602.41
CCMP:IND,26/04/1999,2617.09,2661.51,2590.69,2652.05
CCMP:IND,23/04/1999,2563.87,2603.1,2538,2590.69
CCMP:IND,22/04/1999,2551.13,2561.79,2525.26,2561.61
CCMP:IND,21/04/1999,2428.89,2489.84,2404.71,2489.08
CCMP:IND,20/04/1999,2355.26,2409.78,2329.87,2409.64
CCMP:IND,19/04/1999,2501.71,2501.71,2341.35,2345.61
CCMP:IND,16/04/1999,2528.51,2528.51,2476.93,2484.04
CCMP:IND,15/04/1999,2535.19,2536.34,2443.02,2521.77
CCMP:IND,14/04/1999,2621.52,2628.19,2507.28,2507.28
CCMP:IND,13/04/1999,2626.85,2632.51,2575.05,2583.5
CCMP:IND,12/4/1999,2530.99,2606.24,2526.84,2598.81
CCMP:IND,9/4/1999,2574.98,2599.2,2561.51,2593.05
CCMP:IND,8/4/1999,2553.45,2573.97,2515.2,2573.39
CCMP:IND,7/4/1999,2594.78,2596.25,2511.39,2544.43
CCMP:IND,6/4/1999,2555.48,2582.37,2544.04,2563.17
CCMP:IND,5/4/1999,2523.98,2560.1,2515.7,2560.06
CCMP:IND,1/4/1999,2493.07,2502.46,2460.24,2493.37
CCMP:IND,31/03/1999,2508.34,2520.63,2458.77,2461.4
CCMP:IND,30/03/1999,2492.17,2506.79,2477.62,2480.29
CCMP:IND,29/03/1999,2442.59,2492.84,2419.17,2492.84
CCMP:IND,26/03/1999,2425.05,2445.72,2410.46,2419.17
CCMP:IND,25/03/1999,2399.72,2434.89,2365.58,2434.8
CCMP:IND,24/03/1999,2326.63,2365.35,2305.64,2365.28
CCMP:IND,23/03/1999,2388.04,2395.94,2319.96,2322.84
CCMP:IND,22/03/1999,2428.39,2430.85,2395.29,2395.94
CCMP:IND,19/03/1999,2480.39,2480.63,2420.21,2421.27
CCMP:IND,18/03/1999,2425.36,2463.01,2423.54,2462.96
CCMP:IND,17/03/1999,2440.22,2441.72,2419.85,2428.97
CCMP:IND,16/03/1999,2437.98,2450.01,2423.81,2439.27
CCMP:IND,15/03/1999,2392.54,2431.45,2375.83,2431.44
CCMP:IND,12/3/1999,2411.48,2411.5,2362.87,2381.53
CCMP:IND,11/3/1999,2419.12,2437.39,2391.55,2412.25
CCMP:IND,10/3/1999,2407.1,2408.95,2378.81,2406
CCMP:IND,9/3/1999,2396.52,2433.37,2385.52,2392.94
CCMP:IND,8/3/1999,2357.32,2398.19,2353.74,2397.62
CCMP:IND,5/3/1999,2329.58,2339.21,2292.89,2337.11
CCMP:IND,4/3/1999,2286.29,2311.18,2250.63,2292.89
CCMP:IND,3/3/1999,2274.04,2280.97,2235.19,2265.2
CCMP:IND,2/3/1999,2303.62,2317.57,2257.07,2259.03
CCMP:IND,1/3/1999,2286.83,2300.82,2264.32,2295.18
CCMP:IND,26/02/1999,2320.49,2326.82,2277.18,2288.03
CCMP:IND,25/02/1999,2329.39,2339.38,2286.91,2326.82
CCMP:IND,24/02/1999,2389.75,2405.29,2338.9,2339.38
CCMP:IND,23/02/1999,2360.68,2386.48,2342.01,2376.35
CCMP:IND,22/02/1999,2293.33,2342.41,2275.6,2342.01
CCMP:IND,19/02/1999,2276.61,2291.41,2260.55,2283.6
CCMP:IND,18/02/1999,2269.03,2273.08,2224.21,2260.55
CCMP:IND,17/02/1999,2277.58,2304.72,2242.27,2248.91
CCMP:IND,16/02/1999,2361.22,2368.41,2300.52,2313.87
CCMP:IND,12/2/1999,2375.99,2379,2319.74,2321.89
CCMP:IND,11/2/1999,2339.02,2405.76,2326.19,2405.55
CCMP:IND,10/2/1999,2304.25,2338.15,2289.9,2309.5
CCMP:IND,9/2/1999,2403.95,2403.95,2310.64,2310.79
CCMP:IND,8/2/1999,2405.31,2414.98,2358.05,2404.92
CCMP:IND,5/2/1999,2419.93,2421.43,2346.82,2373.62
CCMP:IND,4/2/1999,2496.49,2496.52,2409.99,2410.07
